All Shortstops 2015  Season MLB Standard Stats
Avail,Player,AB,R,H,1B,2B,3B,HR,RBI,BB,KO,SB,CS,BA,OBP,SLG,Rank,
Floate...,Manny Machado 3B | BAL ,633,102,181,115,30,1,35,86,70,111,20,8,0.286,0.359,0.502,12
Floate...,Xander Bogaerts SS | BOS ,613,84,196,151,35,3,7,81,32,101,10,2,0.320,0.355,0.421,56
Rocky ...,Carlos Correa SS | HOU ,387,52,108,63,22,1,22,68,40,78,14,4,0.279,0.345,0.512,90
Orange...,Brandon Crawford SS | SF ,507,65,130,72,33,4,21,84,39,119,6,4,0.256,0.321,0.462,100
SA's J...,Troy Tulowitzki SS | TOR ,486,77,136,92,27,0,17,70,38,114,1,0,0.280,0.337,0.440,119
Rocky ...,Elvis Andrus SS | TEX ,596,69,154,111,34,2,7,62,46,78,25,9,0.258,0.309,0.357,120
Shits ...,Jose Reyes SS | COL ,481,57,132,98,25,2,7,53,26,62,24,6,0.274,0.310,0.378,138
Floate...,Jhonny Peralta SS | STL ,579,64,159,115,26,1,17,71,50,111,1,4,0.275,0.334,0.411,141
Shits ...,Francisco Lindor SS | CLE ,390,50,122,84,22,4,12,51,27,69,12,2,0.313,0.353,0.482,144
Rocky ...,Ian Desmond SS | WAS ,583,69,136,88,27,2,19,62,45,187,13,5,0.233,0.290,0.384,148
W ,Jung Ho Kang 3B | PIT ,421,60,121,80,24,2,15,58,28,99,5,4,0.287,0.355,0.461,158
W ,Asdrubal Cabrera SS | NYM ,505,66,134,86,28,5,15,58,36,107,6,3,0.265,0.315,0.430,167
SA's J...,Jean Segura SS | ARI ,560,57,144,117,16,5,6,50,13,93,25,6,0.257,0.281,0.336,170
Disco ...,Marcus Semien SS | OAK ,556,65,143,98,23,7,15,45,42,132,11,5,0.257,0.310,0.405,184
Old Di...,Alexei Ramirez SS | SD ,583,54,145,102,33,0,10,62,31,68,17,7,0.249,0.285,0.357,189
W ,Erick Aybar SS | ATL,597,74,161,127,30,1,3,44,25,73,15,6,0.270,0.301,0.338,193
Crime ...,Alcides Escobar SS | KC ,612,76,157,129,20,5,3,47,26,75,17,5,0.257,0.293,0.320,198
W ,Starlin Castro SS | NYY ,547,52,145,109,23,2,11,69,21,91,5,5,0.265,0.296,0.375,206
W ,Wilmer Flores SS | NYM ,483,55,127,89,22,0,16,59,19,63,0,1,0.263,0.295,0.408,220
W ,Freddy Galvis SS | PHI ,559,63,147,121,14,5,7,50,30,103,10,1,0.263,0.302,0.344,223
W ,Didi Gregorius SS | NYY ,525,57,139,104,24,2,9,56,33,85,5,3,0.265,0.318,0.369,237
Rocky ...,Jimmy Rollins SS | LAD,517,71,116,76,24,3,13,41,44,86,12,8,0.224,0.285,0.358,239
W ,Brad Miller SS | TB,438,44,113,76,22,4,11,46,47,101,13,4,0.258,0.329,0.402,246
Rocky ...,Cesar Hernandez 2B | PHI ,405,57,110,85,20,4,1,35,40,86,19,5,0.272,0.339,0.348,250
Crime ...,Addison Russell 2B | CHC ,475,60,115,72,29,1,13,54,42,149,4,3,0.242,0.306,0.390,255
W ,Adeiny Hechavarria SS | MIA ,470,54,132,104,17,6,5,48,23,78,7,2,0.281,0.315,0.374,258
W ,Eugenio Suarez SS | CIN ,372,42,104,70,19,2,13,48,17,94,4,1,0.280,0.315,0.446,259
W ,Eduardo Escobar SS | MIN ,409,48,107,60,31,4,12,58,28,86,2,3,0.262,0.309,0.445,262
W ,Brock Holt 2B | BOS ,454,56,127,92,27,6,2,45,46,97,8,1,0.280,0.348,0.379,277
W ,Danny Espinosa 2B | WAS ,367,59,88,53,21,1,13,37,33,106,5,2,0.240,0.310,0.409,288
W ,Andrelton Simmons SS | LAA,535,60,142,113,23,2,4,44,39,48,5,3,0.265,0.321,0.338,299
W ,Marwin Gonzalez 1B | HOU ,344,44,96,65,18,1,12,34,16,74,4,5,0.279,0.317,0.442,301
W ,Chris Owings 2B | ARI,515,59,117,81,27,5,4,43,26,144,16,4,0.227,0.264,0.322,311
W ,Jedd Gyorko 2B | STL,421,34,104,73,15,0,16,57,27,107,0,1,0.247,0.297,0.397,318
W ,Jose Iglesias SS | DET ,416,44,125,103,17,3,2,23,25,44,11,8,0.300,0.347,0.370,323
W ,Ryan Goins 2B | TOR,376,52,94,69,16,4,5,45,39,83,2,1,0.250,0.318,0.354,357
W ,Stephen Drew 2B | WAS ,383,43,77,43,16,1,17,44,37,71,0,2,0.201,0.271,0.381,391
W ,Jose Ramirez SS | CLE ,315,50,69,46,14,3,6,27,32,39,10,4,0.219,0.291,0.340,394
W ,Nick Ahmed SS | ARI ,421,49,95,63,17,6,9,34,29,81,4,5,0.226,0.275,0.359,403
W ,Andres Blanco 3B | PHI,233,32,68,36,22,3,7,25,21,44,1,1,0.292,0.360,0.502,428
W ,Zack Cozart SS | CIN ,194,28,50,30,10,1,9,28,14,29,3,3,0.258,0.310,0.459,437
W ,Eric Sogard 2B | OAK,372,40,92,76,12,3,1,37,23,50,6,1,0.247,0.294,0.304,439
Disco ...,Tim Beckham 2B | TB,203,24,45,25,7,4,9,37,13,69,3,1,0.222,0.274,0.429,464
W ,Jed Lowrie 3B | OAK ,230,35,51,28,14,0,9,30,28,43,1,0,0.222,0.312,0.400,477
W ,Eduardo Nunez SS | MIN ,188,23,53,34,14,1,4,20,12,29,8,4,0.282,0.327,0.431,478
W ,Enrique Hernandez CF | LAD ,202,24,62,41,12,2,7,22,11,46,0,2,0.307,0.346,0.490,479
W ,J.J. Hardy SS | BAL,411,45,90,68,14,0,8,37,20,88,0,0,0.219,0.253,0.311,480
W ,Ruben Tejada SS | NYM ,360,36,94,68,23,0,3,28,38,70,2,1,0.261,0.338,0.350,493
W ,Ketel Marte SS | SEA ,219,25,62,43,14,3,2,17,24,43,8,4,0.283,0.351,0.402,505
